feature,pooled_effect,ci_low,ci_high,i2,direction_consistency,n_languages,divergence_reason
pitch_std,0.10474326452058177,-0.32335439589690773,0.5328409249380713,98.62296867497987,0.6,5,direction_inconsistency
pause_ratio,0.17923865572513595,-0.1948792067851963,0.5533565182354682,98.20130887746515,0.6,5,direction_inconsistency
harmonic_ratio,-0.016865746900665484,-0.32359333328253415,0.28986183948120314,97.33708204813344,0.6,5,direction_inconsistency
energy_env_slope,-0.05482108466926275,-0.233730850584336,0.12408868124581049,92.07650997535696,0.6,5,direction_inconsistency
low_band_ratio,-0.2865027061581839,-0.6143829281082871,0.04137751579191923,97.63772043840872,0.8,5,high_heterogeneity
mid_band_ratio,0.21024381890809718,-0.10011250582508846,0.5206001436412828,97.37674770468206,0.8,5,high_heterogeneity
energy_env_std,0.5517509355129805,0.26539242438076105,0.8381094466451999,96.8230967166083,1.0,5,high_heterogeneity
pitch_mean,0.7890286248930877,0.5464736955106333,1.031583554275542,95.39598540706746,1.0,5,high_heterogeneity
spectral_centroid,0.42185906751021507,0.2151917425162378,0.6285263925041924,93.97542104721049,1.0,5,high_heterogeneity
pitch_energy_corr,0.538738813627786,0.3403148461413593,0.7371627811142126,93.40606894235131,1.0,5,high_heterogeneity
zcr,0.4299662147537569,0.24509153687715887,0.6148408926303549,92.43971730369233,1.0,5,high_heterogeneity
spectral_rolloff,0.4580265279273809,0.2801882637870309,0.6358647920677309,91.79055721736225,1.0,5,high_heterogeneity
high_band_ratio,0.36457854678960794,0.21388598730352587,0.5152711062756901,88.57755509017066,1.0,5,high_heterogeneity
alpha_ratio,0.38445917310481514,0.23998830551740666,0.5289300406922236,87.49765423777015,1.0,5,high_heterogeneity
spectral_bandwidth,0.4765920637437142,0.34202141916036566,0.6111627083270628,85.41938348447613,1.0,5,high_heterogeneity
tempo_proxy,-0.06638450208373248,-0.14410598466279378,0.011336980495328844,56.853259486793775,1.0,5,high_heterogeneity
