feature,pooled_effect,ci_low,ci_high,i2,direction_consistency,n_languages,shared_flag,pooled_effect_sensitivity,ci_low_sensitivity,ci_high_sensitivity
pitch_mean,0.7890286248930877,0.5464736955106333,1.031583554275542,95.39598540706746,1.0,5,1,0.803403309286079,0.6219642280025623,0.9848423905695955
energy_env_std,0.5517509355129805,0.26539242438076105,0.8381094466451999,96.8230967166083,1.0,5,1,0.5226068446395752,0.2565233121724097,0.7886903771067406
pitch_energy_corr,0.538738813627786,0.3403148461413593,0.7371627811142126,93.40606894235131,1.0,5,1,0.595753098680718,0.37620132359914277,0.8153048737622932
spectral_bandwidth,0.4765920637437142,0.34202141916036566,0.6111627083270628,85.41938348447613,1.0,5,1,0.4359076030005445,0.2919878945310339,0.5798273114700551
spectral_rolloff,0.4580265279273809,0.2801882637870309,0.6358647920677309,91.79055721736225,1.0,5,1,0.4247774930791115,0.23717958192370747,0.6123754042345155
zcr,0.4299662147537569,0.24509153687715887,0.6148408926303549,92.43971730369233,1.0,5,1,0.4121696709534305,0.22325281723646578,0.6010865246703951
spectral_centroid,0.42185906751021507,0.2151917425162378,0.6285263925041924,93.97542104721049,1.0,5,1,0.39987935420865534,0.1895641061315107,0.6101946022858
alpha_ratio,0.38445917310481514,0.23998830551740666,0.5289300406922236,87.49765423777015,1.0,5,1,0.3020442122232702,0.12758045907341925,0.4765079653731212
high_band_ratio,0.36457854678960794,0.21388598730352587,0.5152711062756901,88.57755509017066,1.0,5,1,0.29329564640029704,0.1362961183710806,0.4502951744295135
low_band_ratio,-0.2865027061581839,-0.6143829281082871,0.04137751579191923,97.63772043840872,0.8,5,0,-0.22308583683265115,-0.5532886661627536,0.10711699249745127
mid_band_ratio,0.21024381890809718,-0.10011250582508846,0.5206001436412828,97.37674770468206,0.8,5,0,0.16323065209846158,-0.1573751456826434,0.48383644987956653
pause_ratio,0.17923865572513595,-0.1948792067851963,0.5533565182354682,98.20130887746515,0.6,5,0,0.1884449681874009,-0.16550039352059345,0.5423903298953953
pitch_std,0.10474326452058177,-0.32335439589690773,0.5328409249380713,98.62296867497987,0.6,5,0,0.210372115035442,-0.102470602617452,0.523214832688336
tempo_proxy,-0.06638450208373248,-0.14410598466279378,0.011336980495328844,56.853259486793775,1.0,5,0,-0.05836355840867133,-0.14917329157539844,0.032446174758055765
energy_env_slope,-0.05482108466926275,-0.233730850584336,0.12408868124581049,92.07650997535696,0.6,5,0,-0.0617977538896498,-0.25178697486690327,0.12819146708760368
harmonic_ratio,-0.016865746900665484,-0.32359333328253415,0.28986183948120314,97.33708204813344,0.6,5,0,-0.08506219629832422,-0.25504264936712534,0.08491825677047689
