language,dataset_name,sample_id,canonical_label,raw_utterance_text,normalized_utterance_text,english_gloss,lexical_domain_tag,split,include_flag,exclusion_reason
Quechua,quechua,audios/10001.wav,emergency,Manan noqaqa rikunichu,manan noqaqa rikunichu,NA,other,train,1,
Quechua,quechua,audios/10002.wav,excluded,Sapanka wawan ishkay chakiyuq hinallataq ishkay makiyuq,sapanka wawan ishkay chakiyuq hinallataq ishkay makiyuq,NA,other,dev,0,non_canonical_emotion_label
Quechua,quechua,audios/10003.wav,emergency,Chay ruwayta mana chaskisqachu millaypunin chayqa consejo viceministro nisqakunamanta hamuq.,chay ruwayta mana chaskisqachu millaypunin chayqa consejo viceministro nisqakunamanta hamuq.,NA,other,train,1,
Quechua,quechua,audios/10004.wav,excluded,Llaqta ayllukuna sapa kuti rimapakunku ruwayninkumanta.,llaqta ayllukuna sapa kuti rimapakunku ruwayninkumanta.,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10005.wav,excluded,Rimasqaytam ch´uyanchasaq,rimasqaytam ch ́uyanchasaq,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10006.wav,excluded,"Turukunaqa ishkay waqrayuqmi, tarukakuna ichaqa tawa waqrayuq kanku","turukunaqa ishkay waqrayuqmi, tarukakuna ichaqa tawa waqrayuq kanku",NA,other,dev,0,non_canonical_emotion_label
Quechua,quechua,audios/10007.wav,emergency,Kishkan makiyman haykurun,kishkan makiyman haykurun,NA,other,train,1,
Quechua,quechua,audios/10008.wav,excluded,Kay q'aytuta ishkay ishkaymanta kuruy,kay q'aytuta ishkay ishkaymanta kuruy,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10009.wav,excluded,Kanmi runakuna anchata yachankuman kikinkumanta wak runakunamantaqa.,kanmi runakuna anchata yachankuman kikinkumanta wak runakunamantaqa.,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10010.wav,excluded,Ichaqa  runakunaq allin kayninqa kanman kikinkuwan kusisqa kaypischá.,ichaqa runakunaq allin kayninqa kanman kikinkuwan kusisqa kaypischá.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10011.wav,excluded,Wasi wasiman hamunki,wasi wasiman hamunki,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10012.wav,emergency,Chay yuraq millwataqa pukamanmi tullpusaq.,chay yuraq millwataqa pukamanmi tullpusaq.,NA,other,train,1,
Quechua,quechua,audios/10013.wav,emergency,Hamawt´akunan inkakunataqa yanapan llaqta pusariytaqa,hamawt ́akunan inkakunataqa yanapan llaqta pusariytaqa,NA,other,dev,1,
Quechua,quechua,audios/10014.wav,emergency,Tintinqa wasimasinchispa sach'akunapin wiñan,tintinqa wasimasinchispa sach'akunapin wiñan,NA,other,train,1,
Quechua,quechua,audios/10015.wav,excluded,Kay raqachaqa rumumanmi rikch’akun.,kay raqachaqa rumumanmi rikch’akun.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10016.wav,emergency,"Ch’aki chikchipata mankaman raphillanta qhakuykuy, tulluntaqa wisch’upunki.","ch’aki chikchipata mankaman raphillanta qhakuykuy, tulluntaqa wisch’upunki.",NA,other,test,1,
Quechua,quechua,audios/10017.wav,emergency,Raymi,raymi,NA,other,train,1,
Quechua,quechua,audios/10018.wav,excluded,Añanchaykiqa allinmi karan,añanchaykiqa allinmi karan,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10019.wav,emergency,Manan hayk´aqpas onqosqa runakunamantaqa asikunachu,manan hayk ́aqpas onqosqa runakunamantaqa asikunachu,NA,other,test,1,
Quechua,quechua,audios/10020.wav,excluded,Qoranawan ch’akmasaq,qoranawan ch’akmasaq,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10021.wav,emergency,Millaypunin imaynatan taytakuna wawankuta maqanku,millaypunin imaynatan taytakuna wawankuta maqanku,NA,other,train,1,
Quechua,quechua,audios/10022.wav,excluded,Raphi,raphi,NA,other,dev,0,non_canonical_emotion_label
Quechua,quechua,audios/10023.wav,emergency,Maqaq,maqaq,NA,other,test,1,
Quechua,quechua,audios/10024.wav,excluded,Tayta mamay llaqtaman purinku,tayta mamay llaqtaman purinku,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10025.wav,emergency,"¡Yaw asnu runa, chayqa manam lloq'e makichu!","¡yaw asnu runa, chayqa manam lloq'e makichu!",NA,other,test,1,
Quechua,quechua,audios/10026.wav,emergency,Umasapa wallpaqa chakrapin runturusqa,umasapa wallpaqa chakrapin runturusqa,NA,other,test,1,
Quechua,quechua,audios/10027.wav,excluded,T’ika wiñashan,t’ika wiñashan,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10028.wav,excluded,Kay wasiqa pusaq pachamanta kichakun,kay wasiqa pusaq pachamanta kichakun,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10029.wav,emergency,Phiña,phiña,NA,other,test,1,
Quechua,quechua,audios/10030.wav,excluded,Ninri,ninri,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10031.wav,excluded,Mankaq sikinqa phatarusqan,mankaq sikinqa phatarusqan,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10032.wav,excluded,T´oqo,t ́oqo,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10033.wav,excluded,Wakin runakunaqa  kikinninkuwan allin kayqa aswan sumaqpunin  ninkun.,wakin runakunaqa kikinninkuwan allin kayqa aswan sumaqpunin ninkun.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10034.wav,excluded,Takiqkuna llaqtapi paqarin takinqaku,takiqkuna llaqtapi paqarin takinqaku,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10035.wav,excluded,Llapanku aynipi yanapanakuspa llank'aranku,llapanku aynipi yanapanakuspa llank'aranku,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10036.wav,excluded,Nanay,nanay,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10037.wav,excluded,Taytaykiwan rimarani,taytaykiwan rimarani,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10038.wav,emergency,"Kunan p'unchawqa manan kicharayanchu, hatun p´unchawmi.","kunan p'unchawqa manan kicharayanchu, hatun p ́unchawmi.",NA,other,train,1,
Quechua,quechua,audios/10039.wav,excluded,Runa simillapi rimayta munani,runa simillapi rimayta munani,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10040.wav,excluded,Ch’aqipaqqa ch’uñuta pisillata ñut'una,ch’aqipaqqa ch’uñuta pisillata ñut'una,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10041.wav,emergency,Raymi,raymi,NA,other,test,1,
Quechua,quechua,audios/10042.wav,emergency,Alberton wañusqa atoqta tarisqa,alberton wañusqa atoqta tarisqa,NA,other,train,1,
Quechua,quechua,audios/10043.wav,excluded,Kay willakuyqa hukpa nisqanmi,kay willakuyqa hukpa nisqanmi,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10044.wav,excluded,Rit’ipi pukllanchis,rit’ipi pukllanchis,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10045.wav,emergency,Sasachaykuna,sasachaykuna,NA,other,train,1,
Quechua,quechua,audios/10046.wav,excluded,Kuraq wawqeykiman kay qhelqata aparuy,kuraq wawqeykiman kay qhelqata aparuy,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10047.wav,excluded,Sasachaykunkin imaymana tramitikunapaq,sasachaykunkin imaymana tramitikunapaq,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10048.wav,excluded,Harawiqa runaq kunkan ch´uya rimaymi; Huk t´oqway wakin munaymanta.,harawiqa runaq kunkan ch ́uya rimaymi; huk t ́oqway wakin munaymanta.,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10049.wav,excluded,Hatun mankaman hich'ay unuta hinaspa astawan apamuy,hatun mankaman hich'ay unuta hinaspa astawan apamuy,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10050.wav,excluded,Qolqesapa runaqa qorimanta otaq qolqe alakhamanta kirunta churachikun,qolqesapa runaqa qorimanta otaq qolqe alakhamanta kirunta churachikun,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10051.wav,excluded,Phuyukuna teqsimuyupi qhawasqanchis wayrapi unu sut´ukunan tuytuqmi kanku,phuyukuna teqsimuyupi qhawasqanchis wayrapi unu sut ́ukunan tuytuqmi kanku,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10052.wav,emergency,Mana yuyayniyuq runakuna rimayninkuta  churayta munanku wakinman cheqninan kanan,mana yuyayniyuq runakuna rimayninkuta churayta munanku wakinman cheqninan kanan,NA,other,train,1,
Quechua,quechua,audios/10053.wav,excluded,Tukuy ima raymikuna apakun,tukuy ima raymikuna apakun,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10054.wav,excluded,San Pedro llaqtapiqa kurkukunata llaqllaspa munay tiyanakunata ruwanku.,san pedro llaqtapiqa kurkukunata llaqllaspa munay tiyanakunata ruwanku.,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10055.wav,excluded,K’usilluchaqa wawakunaq tukuy ima rurasqanta yachapayan,k’usilluchaqa wawakunaq tukuy ima rurasqanta yachapayan,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10056.wav,excluded,Makiypi k’irichayqa ña thanishanña,makiypi k’irichayqa ña thanishanña,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10057.wav,excluded,Sumaqllata yarqha patanta mana pukllaspalla hamunqa mana urmaykunapaq,sumaqllata yarqha patanta mana pukllaspalla hamunqa mana urmaykunapaq,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10058.wav,excluded,"Waskhakunata mañariway, sach’akunatan wit'usaq.","waskhakunata mañariway, sach’akunatan wit'usaq.",NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10059.wav,excluded,Mesa patapi tiyakushan,mesa patapi tiyakushan,NA,other,train,0,non_canonical_emotion_label
Quechua,quechua,audios/10060.wav,excluded,Rakhu p’achaqa chirimanta kurkunchista hark’an,rakhu p’achaqa chirimanta kurkunchista hark’an,NA,other,dev,0,non_canonical_emotion_label
Quechua,quechua,audios/10061.wav,emergency,Tarpunapaqñan noqaqa wayq'otaqa risaq,tarpunapaqñan noqaqa wayq'otaqa risaq,NA,other,train,1,
Quechua,quechua,audios/10062.wav,emergency,Juicion tukunankama wisq’asqa kanki,juicion tukunankama wisq’asqa kanki,NA,other,test,1,
Quechua,quechua,audios/10063.wav,emergency,Ichaqa rinakunapi millay kanman uywaq ismusqa aychan qhway mushkhiy,ichaqa rinakunapi millay kanman uywaq ismusqa aychan qhway mushkhiy,NA,other,test,1,
Quechua,quechua,audios/10064.wav,emergency,"Sach´a sach´a ñanpi, wañusqa taruqaq qaranta tarisqaku huk trampapi hap´ichikusqa.","sach ́a sach ́a ñanpi, wañusqa taruqaq qaranta tarisqaku huk trampapi hap ́ichikusqa.",NA,other,train,1,
Quechua,quechua,audios/10065.wav,excluded,Wasi masiykuq ususichanmi kan,wasi masiykuq ususichanmi kan,NA,other,test,0,non_canonical_emotion_label
Quechua,quechua,audios/10066.wav,emergency,Pachatupu,pachatupu,NA,other,train,1,
Quechua,quechua,audios/10067.wav,excluded,Mana allin kawsaykuna kaqtinqa awkinchiskunata tapurikusunchis,mana allin kawsaykuna kaqtinqa awkinchiskunata tapurikusunchis,NA,other,train,0,non_canonical_emotion_label
