phase,dataset_name,count_source,mapping_variant,include_surprise,language,emergency_labels,normal_labels,emergency_count,normal_count,usable_total,audio_files_scanned,label_detected_files,unmapped_files,count_type,count_notes,source_url
phase1_en,ESD,estimated,surprise_included,yes,english,anger|surprise,neutral,7000,3500,10500,,,,estimated,Derived from 350 sentences x 10 English speakers x 5 emotions,https://www.sciencedirect.com/science/article/pii/S0167639321001308
phase1_en,ESD,estimated,surprise_excluded,no,english,anger,neutral,3500,3500,7000,,,,estimated,Derived from 350 sentences x 10 English speakers x 5 emotions,https://www.sciencedirect.com/science/article/pii/S0167639321001308
phase1_en,ESD,scanned,surprise_included,yes,english,,,0,0,0,0,0,0,exact_scan_empty,"Scanned files=0, detected=0, unmapped=0",https://www.sciencedirect.com/science/article/pii/S0167639321001308
phase1_en,ESD,scanned,surprise_excluded,no,english,,,0,0,0,0,0,0,exact_scan_empty,"Scanned files=0, detected=0, unmapped=0",https://www.sciencedirect.com/science/article/pii/S0167639321001308
phase1_en,CREMA-D,estimated,surprise_included,yes,english,anger|fear,neutral,2480,1240,3720,,,,estimated,Approx uniform split from 7441 files over 6 emotions,https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,CREMA-D,estimated,surprise_excluded,no,english,anger|fear,neutral,2480,1240,3720,,,,estimated,Approx uniform split from 7441 files over 6 emotions,https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,CREMA-D,scanned,surprise_included,yes,english,anger|fear,neutral,667,284,951,1950,1950,0,exact_scan,"Scanned files=1950, detected=1950, unmapped=0",https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,CREMA-D,scanned,surprise_excluded,no,english,anger|fear,neutral,667,284,951,1950,1950,0,exact_scan,"Scanned files=1950, detected=1950, unmapped=0",https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,COMBINED_ESD_CREMA-D,estimated,surprise_included,yes,english,anger|fear|surprise,neutral|calm,9480,4740,14220,,,,estimated,Aggregated from dataset rows,https://github.com/HLTSingapore/Emotional-Speech-Data|https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,COMBINED_ESD_CREMA-D,estimated,surprise_excluded,no,english,anger|fear,neutral|calm,5980,4740,10720,,,,estimated,Aggregated from dataset rows,https://github.com/HLTSingapore/Emotional-Speech-Data|https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,COMBINED_ESD_CREMA-D,scanned,surprise_included,yes,english,anger|fear|surprise,neutral|calm,667,284,951,,,,exact_scan,Aggregated from dataset rows,https://github.com/HLTSingapore/Emotional-Speech-Data|https://audeering.github.io/datasets/datasets/crema-d.html
phase1_en,COMBINED_ESD_CREMA-D,scanned,surprise_excluded,no,english,anger|fear,neutral|calm,667,284,951,,,,exact_scan,Aggregated from dataset rows,https://github.com/HLTSingapore/Emotional-Speech-Data|https://audeering.github.io/datasets/datasets/crema-d.html
