language,surface,normalized_surface,semantic_bucket,train_samples,train_unique_speakers,dev_samples,dev_unique_speakers,test_samples,test_unique_speakers,total_samples,admission_status,source_receipt_id
de,acht,acht,cardinal_number,1496,1066,187,187,187,187,1870,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,drei,drei,cardinal_number,3537,1297,443,443,443,443,4423,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,eins,eins,cardinal_number,1181,891,148,148,148,148,1477,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,fünf,fünf,cardinal_number,2111,1157,265,265,265,265,2641,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,neun,neun,cardinal_number,1045,815,131,131,131,131,1307,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,null,null,cardinal_number,239,133,30,30,30,30,299,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,sechs,sechs,cardinal_number,1660,1073,208,208,208,208,2076,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,sieben,sieben,cardinal_number,1270,883,159,159,159,159,1588,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,vier,vier,cardinal_number,2496,1188,313,313,313,313,3122,management_provisional_conservative_unknown,mswc_de_metadata_v1
de,zwei,zwei,cardinal_number,5175,1399,647,647,647,647,6469,management_provisional_conservative_unknown,mswc_de_metadata_v1
es,cero,cero,cardinal_number,920,890,115,115,115,115,1150,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,cinco,cinco,cardinal_number,1510,1113,189,189,189,189,1888,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,cuatro,cuatro,cardinal_number,2088,1328,262,262,262,262,2612,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,dos,dos,cardinal_number,4967,1853,622,622,622,622,6211,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,nueve,nueve,cardinal_number,1454,1325,182,182,182,182,1818,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,ocho,ocho,cardinal_number,1526,1333,191,191,191,191,1908,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,seis,seis,cardinal_number,1666,1349,209,209,209,209,2084,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,siete,siete,cardinal_number,1612,1430,202,202,202,202,2016,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,tres,tres,cardinal_number,3263,1759,408,408,408,408,4079,management_provisional_conservative_unknown,mswc_es_metadata_v1
es,uno,uno,cardinal_number,2756,1657,345,345,345,345,3446,management_provisional_conservative_unknown,mswc_es_metadata_v1
