sample_index,true_label,predicted_intent,is_correct,keyword_hit,matched_emergency_terms,matched_movement_terms,parse_reason,false_action_from_unknown,asr_failed
0,movement,unknown,0,0,,,no_rule_hit,0,0
1,emergency,emergency,1,1,yes,,emergency_precedence,0,0
2,unknown,unknown,1,0,,,no_rule_hit,0,0
3,emergency,unknown,0,0,,,no_rule_hit,0,0
4,movement,unknown,0,0,,,no_rule_hit,0,0
5,unknown,unknown,1,0,,,no_rule_hit,0,0
6,emergency,unknown,0,0,,,no_rule_hit,0,0
7,emergency,emergency,1,1,yes,,emergency_precedence,0,0
8,unknown,unknown,1,0,,,no_rule_hit,0,0
9,movement,unknown,0,0,,,no_rule_hit,0,0
10,movement,unknown,0,0,,,no_rule_hit,0,0
11,emergency,unknown,0,0,,,no_rule_hit,0,0
12,unknown,unknown,1,0,,,no_rule_hit,0,0
13,emergency,unknown,0,0,,,no_rule_hit,0,0
14,unknown,unknown,1,0,,,no_rule_hit,0,0
15,movement,unknown,0,0,,,no_rule_hit,0,0
16,unknown,unknown,1,0,,,no_rule_hit,0,0
17,movement,unknown,0,0,,,no_rule_hit,0,0
18,emergency,unknown,0,0,,,no_rule_hit,0,0
19,emergency,unknown,0,0,,,no_rule_hit,0,0
20,emergency,movement,0,1,,go,movement_match,0,0
21,emergency,unknown,0,0,,,no_rule_hit,0,0
22,emergency,unknown,0,0,,,no_rule_hit,0,0
23,unknown,unknown,1,0,,,no_rule_hit,0,0
24,movement,unknown,0,0,,,no_rule_hit,0,0
25,movement,unknown,0,0,,,no_rule_hit,0,0
26,emergency,emergency,1,1,yes,,emergency_precedence,0,0
27,emergency,unknown,0,0,,,no_rule_hit,0,0
28,movement,unknown,0,0,,,no_rule_hit,0,0
29,unknown,unknown,1,0,,,no_rule_hit,0,0
30,movement,unknown,0,0,,,no_rule_hit,0,0
31,unknown,unknown,1,0,,,no_rule_hit,0,0
32,emergency,unknown,0,0,,,no_rule_hit,0,0
33,movement,unknown,0,0,,,no_rule_hit,0,0
34,movement,movement,1,1,,go,movement_match,0,0
35,unknown,unknown,1,0,,,no_rule_hit,0,0
36,unknown,unknown,1,0,,,no_rule_hit,0,0
37,unknown,unknown,1,0,,,no_rule_hit,0,0
38,movement,unknown,0,0,,,no_rule_hit,0,0
39,unknown,unknown,1,0,,,no_rule_hit,0,0
40,movement,unknown,0,0,,,no_rule_hit,0,0
41,emergency,unknown,0,0,,,no_rule_hit,0,0
42,emergency,unknown,0,0,,,no_rule_hit,0,0
43,movement,unknown,0,0,,,no_rule_hit,0,0
44,movement,unknown,0,0,,,no_rule_hit,0,0
45,unknown,unknown,1,0,,,no_rule_hit,0,0
46,unknown,unknown,1,0,,,no_rule_hit,0,0
47,emergency,unknown,0,0,,,no_rule_hit,0,0
48,unknown,unknown,1,0,,,no_rule_hit,0,0
49,emergency,unknown,0,0,,,no_rule_hit,0,0
50,unknown,unknown,1,0,,,no_rule_hit,0,0
51,unknown,unknown,1,0,,,no_rule_hit,0,0
52,emergency,unknown,0,0,,,no_rule_hit,0,0
53,movement,unknown,0,0,,,no_rule_hit,0,0
54,emergency,unknown,0,0,,,no_rule_hit,0,0
55,unknown,unknown,1,0,,,no_rule_hit,0,0
56,emergency,emergency,1,1,yes,,emergency_precedence,0,0
57,movement,unknown,0,0,,,no_rule_hit,0,0
58,emergency,unknown,0,0,,,no_rule_hit,0,0
59,emergency,unknown,0,0,,,no_rule_hit,0,0
60,unknown,unknown,1,0,,,no_rule_hit,0,0
61,unknown,unknown,1,0,,,no_rule_hit,0,0
62,emergency,unknown,0,0,,,no_rule_hit,0,0
63,unknown,unknown,1,0,,,no_rule_hit,0,0
64,movement,unknown,0,0,,,no_rule_hit,0,0
65,emergency,unknown,0,0,,,no_rule_hit,0,0
66,emergency,unknown,0,0,,,no_rule_hit,0,0
67,emergency,unknown,0,0,,,no_rule_hit,0,0
68,unknown,unknown,1,0,,,no_rule_hit,0,0
69,unknown,unknown,1,0,,,no_rule_hit,0,0
70,movement,movement,1,1,,come on,movement_match,0,0
71,movement,unknown,0,0,,,no_rule_hit,0,0
72,unknown,unknown,1,0,,,no_rule_hit,0,0
73,movement,unknown,0,0,,,no_rule_hit,0,0
74,movement,unknown,0,0,,,no_rule_hit,0,0
75,unknown,unknown,1,0,,,no_rule_hit,0,0
76,emergency,unknown,0,0,,,no_rule_hit,0,0
77,emergency,unknown,0,0,,,no_rule_hit,0,0
78,movement,unknown,0,0,,,no_rule_hit,0,0
79,emergency,emergency,1,1,stop,,emergency_precedence,0,0
80,movement,unknown,0,0,,,no_rule_hit,0,0
81,emergency,unknown,0,0,,,no_rule_hit,0,0
82,unknown,unknown,1,0,,,no_rule_hit,0,0
83,movement,unknown,0,0,,,no_rule_hit,0,0
84,movement,unknown,0,0,,,no_rule_hit,0,0
85,unknown,unknown,1,0,,,no_rule_hit,0,0
86,movement,unknown,0,0,,,no_rule_hit,0,0
87,movement,unknown,0,0,,,no_rule_hit,0,0
88,emergency,movement,0,1,,go,movement_match,0,0
89,emergency,unknown,0,0,,,no_rule_hit,0,0
90,emergency,unknown,0,0,,,no_rule_hit,0,0
91,movement,unknown,0,0,,,no_rule_hit,0,0
92,unknown,unknown,1,0,,,no_rule_hit,0,0
93,movement,unknown,0,0,,,no_rule_hit,0,0
94,movement,unknown,0,0,,,no_rule_hit,0,0
