sample_index,filepath,source_word,true_label,condition,snr_db,transcript_raw,transcript_normalized,transcript_non_empty,asr_latency_sec,total_latency_sec,peak_normalized,peak_before_normalization,asr_failed,error
0,dataset/raw/movement/follow/18f8afd5_nohash_1.wav,follow,movement,snr_m10db,-10.0,,,0,0.161269,0.161710,1,1.117339,0,
1,dataset/raw/emergency/yes/834f03fe_nohash_1.wav,yes,emergency,snr_m10db,-10.0,Yes!,yes,1,0.056257,0.056742,0,0.970815,0,
2,dataset/raw/unknown/happy/d1453a87_nohash_2.wav,happy,unknown,snr_m10db,-10.0,Happy,happy,1,0.050866,0.051112,0,0.249848,0,
3,dataset/raw/emergency/yes/a04817c2_nohash_2.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.055204,0.055545,1,1.195490,0,
4,dataset/raw/movement/left/64df20d8_nohash_2.wav,left,movement,snr_m10db,-10.0,You did it.,you did it,1,0.058668,0.058968,0,0.706723,0,
5,dataset/raw/unknown/two/a7216980_nohash_2.wav,two,unknown,snr_m10db,-10.0,Cheers!,cheers,1,0.058298,0.058675,1,1.573325,0,
6,dataset/raw/emergency/yes/9db2bfe9_nohash_2.wav,yes,emergency,snr_m10db,-10.0,Yeah.,yeah,1,0.054041,0.054297,0,0.825754,0,
7,dataset/raw/emergency/yes/0d82fd99_nohash_0.wav,yes,emergency,snr_m10db,-10.0,Yes.,yes,1,0.054073,0.054333,1,1.026122,0,
8,dataset/raw/unknown/one/5a5721f8_nohash_4.wav,one,unknown,snr_m10db,-10.0,,,0,0.051715,0.052424,1,1.516103,0,
9,dataset/raw/movement/up/e1469561_nohash_4.wav,up,movement,snr_m10db,-10.0,,,0,0.056815,0.057267,1,1.168441,0,
10,dataset/raw/movement/right/2dc4f05d_nohash_0.wav,right,movement,snr_m10db,-10.0,Great.,great,1,0.054708,0.055129,1,1.416886,0,
11,dataset/raw/emergency/no/893705bb_nohash_11.wav,no,emergency,snr_m10db,-10.0,,,0,0.057000,0.057269,0,0.414167,0,
12,dataset/raw/unknown/four/ac9dee0e_nohash_0.wav,four,unknown,snr_m10db,-10.0,Hey!,hey,1,0.057118,0.057626,1,1.146221,0,
13,dataset/raw/emergency/backward/ab9b93e4_nohash_1.wav,backward,emergency,snr_m10db,-10.0,,,0,0.060048,0.060573,1,1.715744,0,
14,dataset/raw/unknown/three/74b73f88_nohash_0.wav,three,unknown,snr_m10db,-10.0,,,0,0.060138,0.060595,0,0.235486,0,
15,dataset/raw/movement/go/3102f006_nohash_1.wav,go,movement,snr_m10db,-10.0,,,0,0.062713,0.063065,1,2.042320,0,
16,dataset/raw/unknown/six/acfd5b5e_nohash_3.wav,six,unknown,snr_m10db,-10.0,Check it out.,check it out,1,0.063511,0.063850,1,1.442192,0,
17,dataset/raw/movement/up/0135f3f2_nohash_1.wav,up,movement,snr_m10db,-10.0,,,0,0.053501,0.054022,0,0.425420,0,
