trial_id,participant_id,intent_ground_truth,keyword,repeat_idx,audio_relpath,predicted_intent,confidence,board_prediction,board_confidence,board_results_csv
397,Shujun,emergency,stop,1,Shujun/emergency/stop/1.wav,movement,0.50390625,emergency,0.503906,/Users/zilongzeng/Documents/data/Shujun/results.csv
582,Weiqian,emergency,abort,36,Weiqian/emergency/abort/36.wav,movement,0.51171875,emergency,0.570312,/Users/zilongzeng/Documents/data/Weiqian/results.csv
620,Weiqian,movement,left,74,Weiqian/movement/left/74.wav,movement,0.578125,emergency,0.484375,/Users/zilongzeng/Documents/data/Weiqian/results.csv
692,Weiqian,unknown,happy,146,Weiqian/unknown/happy/146.wav,emergency,0.453125,movement,0.496094,/Users/zilongzeng/Documents/data/Weiqian/results.csv
720,weisi,emergency,freeze,24,weisi/emergency/freeze/24.wav,unknown,0.47265625,emergency,0.421875,/Users/zilongzeng/Documents/data/weisi/results.csv
921,Zhejia,emergency,stop,9,Zhejia/emergency/stop/9.wav,movement,0.44140625,unknown,0.402344,/Users/zilongzeng/Documents/data/Zhejia/results.csv
941,Zhejia,emergency,freeze,29,Zhejia/emergency/freeze/29.wav,movement,0.49609375,emergency,0.453125,/Users/zilongzeng/Documents/data/Zhejia/results.csv
951,Zhejia,emergency,abort,39,Zhejia/emergency/abort/39.wav,emergency,0.4453125,movement,0.484375,/Users/zilongzeng/Documents/data/Zhejia/results.csv
1010,Zhejia,movement,up,98,Zhejia/movement/up/98.wav,emergency,0.55078125,unknown,0.550781,/Users/zilongzeng/Documents/data/Zhejia/results.csv
1012,Zhejia,movement,up,100,Zhejia/movement/up/100.wav,movement,0.55078125,emergency,0.500000,/Users/zilongzeng/Documents/data/Zhejia/results.csv
1014,Zhejia,unknown,bed,102,Zhejia/unknown/bed/102.wav,unknown,0.6640625,movement,0.519531,/Users/zilongzeng/Documents/data/Zhejia/results.csv
1017,Zhejia,unknown,bed,105,Zhejia/unknown/bed/105.wav,movement,0.39453125,unknown,0.441406,/Users/zilongzeng/Documents/data/Zhejia/results.csv
1047,Zhejia,unknown,dog,135,Zhejia/unknown/dog/135.wav,unknown,0.8828125,movement,0.597656,/Users/zilongzeng/Documents/data/Zhejia/results.csv
1099,Zhuoran,emergency,abort,37,Zhuoran/emergency/abort/37.wav,movement,0.52734375,unknown,0.500000,/Users/zilongzeng/Documents/data/Zhuoran/results.csv
1100,Zhuoran,emergency,abort,38,Zhuoran/emergency/abort/38.wav,unknown,0.74609375,movement,0.527344,/Users/zilongzeng/Documents/data/Zhuoran/results.csv
1129,Zhuoran,movement,forward,67,Zhuoran/movement/forward/67.wav,unknown,0.5078125,movement,0.421875,/Users/zilongzeng/Documents/data/Zhuoran/results.csv
1196,Zhuoran,unknown,dog,134,Zhuoran/unknown/dog/134.wav,movement,0.55078125,unknown,0.597656,/Users/zilongzeng/Documents/data/Zhuoran/results.csv
