intent,keyword,support,accuracy,most_common_wrong_prediction
emergency,abort,47,0.2127659574468085,movement
emergency,freeze,116,0.2672413793103448,unknown
emergency,help,40,0.225,movement
emergency,hold,50,0.34,movement
emergency,stop,112,0.44642857142857145,movement
movement,down,40,0.575,emergency
movement,follow,40,0.475,emergency
movement,forward,40,0.375,emergency
movement,go,80,0.45,emergency
movement,left,88,0.45454545454545453,emergency
movement,right,80,0.7625,unknown
movement,up,40,0.775,emergency
unknown,bed,40,0.35,movement
unknown,bird,40,0.65,emergency
unknown,cat,40,0.725,emergency
unknown,dog,40,0.425,movement
unknown,happy,40,0.725,emergency
unknown,no,64,0.109375,movement
unknown,one,30,0.5,emergency
unknown,two,18,0.3333333333333333,emergency
unknown,wow,64,0.203125,emergency
unknown,yes,63,0.3333333333333333,emergency
