intent,keyword,support,accuracy,most_common_wrong_prediction
emergency,abort,20,0.2,movement
emergency,freeze,20,0.15,unknown
emergency,help,20,0.3,movement
emergency,hold,20,0.15,movement
emergency,stop,20,0.6,movement
emergency,unavailable_in_sd_path,442,0.6606334841628959,movement
movement,forward,20,0.3,emergency
movement,go,20,0.75,emergency
movement,left,20,0.8,emergency
movement,right,20,0.7,unknown
movement,unavailable_in_sd_path,420,0.8523809523809524,unknown
movement,up,20,0.8,emergency
unknown,bed,20,0.3,movement
unknown,bird,20,0.75,movement
unknown,cat,20,0.85,movement
unknown,dog,20,0.5,movement
unknown,happy,20,0.95,movement
unknown,unavailable_in_sd_path,300,0.8333333333333334,movement
